marketDate,securityType,symbol,downRom,upRom,Kurtosis,VaR,Beta
2024-10-31,Other,GRABW,-1.0,1.0,2.31371,1.88833,0.44703
2024-10-31,CS,GRAF,-0.18327,0.23187,1.62247,0.05572,0.01713
2024-10-31,Other,GRAF.U,-1.0,1.0,12.76179,0.41554,0.08267
2024-10-31,Other,GRAF.WS,-1.0,1.0,4.32331,4.13637,3.99123
2024-10-31,CS,GRAL,-0.74329,1.03659,7.7748,1.23509,0.59921
2024-10-31,CS,GRBK,-0.50386,0.51973,2.57132,0.577,1.34095
2024-10-31,Other,GRBKpA,-1.0,1.0,2.94955,0.37842,0.06381
2024-10-31,CS,GRC,-0.46661,0.43711,12.04486,0.47253,1.26043
2024-10-31,CS,GRCE,,0.21322,,0.77568,-0.77276
2024-10-31,CS,GRDI,-1.0,1.0,31.01183,3.03265,0.55007
2024-10-31,Other,GRDIW,-1.0,1.0,9.34358,5.98719,1.95373
2024-10-31,CS,GRDN,-0.5924,0.74289,1.69597,0.83064,0.68528
2024-10-31,CS,GREE,-0.91118,1.26745,1.46384,1.86762,2.56507
2024-10-31,CS,GREEL,-0.59294,0.80726,8.47011,0.86297,0.82082
2024-10-31,Other,GREI,-1.0,1.0,3.37968,0.21766,0.6003
2024-10-31,Other,GREK,-1.0,1.0,2.3744,0.30458,0.80999
2024-10-31,Other,GRF,-1.0,1.0,1.81621,0.35558,0.40415
2024-10-31,Other,GRFS,-1.0,1.0,9.36848,1.12342,0.50703
2024-10-31,Other,GRFX,-1.0,1.0,15.95752,2.07635,0.70704
2024-10-31,CS,GRI,-1.0,1.0,50.52455,3.40181,1.42372
2024-10-31,Other,GRID,-1.0,1.0,0.58166,0.26323,1.16158
2024-10-31,CS,GRMN,-0.37785,0.80401,60.81681,0.6151,0.63503
2024-10-31,Other,GRN,-1.0,1.0,0.78943,0.61991,-0.05102
2024-10-31,Other,GRNB,-1.0,1.0,1.18883,0.07042,0.10799
2024-10-31,CS,GRND,-0.41915,0.72624,6.19032,0.6777,1.05856
2024-10-31,Other,GRND.WS,-1.0,1.0,7.29831,1.44096,1.41321
2024-10-31,CS,GRNQ,-1.0,1.0,6.46396,1.53253,1.55321
2024-10-31,CS,GRNT,-0.42486,0.44386,0.58814,0.50631,0.7442
2024-10-31,CS,GROV,-0.66085,0.85157,1.07841,1.08902,0.78055
2024-10-31,CS,GROW,-0.36713,0.4657,8.80001,0.41,0.32961
2024-10-31,CS,GROY,-0.5916,0.75846,2.87489,0.91078,1.31755
2024-10-31,Other,GROY.WS,-1.0,1.0,168.05998,78.74057,5.06254
2024-10-31,Other,GRP.U,-1.0,1.0,5.50438,0.56083,0.91467
2024-10-31,Other,GRPM,-1.0,1.0,0.89765,0.29471,1.10245
2024-10-31,CS,GRPN,-1.10025,0.98392,10.06199,1.43315,1.46896
2024-10-31,Other,GRPZ,-1.0,1.0,0.93131,0.32445,1.03035
2024-10-31,CS,GRRR,-0.93948,1.0,73.59016,2.13663,0.12337
2024-10-31,Other,GRRRW,-1.0,1.0,26.05631,3.49211,-0.72017
2024-10-31,Other,GRVY,-1.0,1.0,5.89011,0.60716,0.88329
2024-10-31,Other,GRW,-1.0,1.0,-0.08338,0.19155,0.82719
2024-10-31,CS,GRWG,-0.77702,1.07274,4.56146,1.33494,2.25889
2024-10-31,Other,GRX,-1.0,1.0,1.227,0.22339,0.57772
2024-10-31,CS,GRYP,-1.0,1.0,3.25915,2.22603,2.95663
2024-10-31,CS,GS,-0.3587,0.4068,2.4268,0.34113,1.01737
2024-10-31,CS,GSAT,-0.61871,0.72156,2.00377,0.96971,1.27149
2024-10-31,CS,GSBC,-0.40347,0.49343,1.69786,0.51235,1.03569
2024-10-31,CS,GSBD,-0.34455,0.30958,5.2549,0.26477,0.4877
2024-10-31,Other,GSC,-1.0,1.0,0.81376,0.28354,1.15872
2024-10-31,Other,GSEE,-1.0,1.0,1.25751,0.22584,0.78278
2024-10-31,Other,GSEP,-1.0,1.0,3.31423,0.06623,0.31407
2024-10-31,Other,GSEU,-1.0,1.0,0.08249,0.19837,0.74469
2024-10-31,Other,GSEW,-1.0,1.0,0.83882,0.17782,0.83502
2024-10-31,Other,GSFP,-1.0,1.0,1.03838,0.22546,0.8583
2024-10-31,Other,GSG,-1.0,1.0,-0.1461,0.27715,0.18708
2024-10-31,CS,GSHD,-0.63736,0.83023,24.92375,0.83145,0.56166
2024-10-31,Other,GSIB,-1.0,1.0,1.09769,0.23719,0.65908
2024-10-31,Other,GSID,-1.0,1.0,0.51097,0.20397,0.80686
2024-10-31,Other,GSIE,-1.0,1.0,0.44192,0.1922,0.77128
2024-10-31,Other,GSIG,-1.0,1.0,2.78812,0.04218,0.06696
2024-10-31,CS,GSIT,-0.93833,1.4866,5.63513,1.74307,1.73615
2024-10-31,CS,GSIW,-1.0,1.0,103.31488,5.04469,2.75177
2024-10-31,Other,GSJY,-1.0,1.0,1.84648,0.27481,0.90002
2024-10-31,Other,GSK,-1.0,1.0,8.26377,0.34426,0.27147
2024-10-31,CS,GSL,-0.40938,0.43607,2.82093,0.44122,0.5409
2024-10-31,Other,GSLC,-1.0,1.0,1.24989,0.1816,0.98307
2024-10-31,Other,GSLpB,-1.0,1.0,12.90949,0.26991,0.15319
2024-10-31,CS,GSM,-0.48425,0.57247,1.10035,0.66216,1.16369
2024-10-31,Other,GSMGW,-1.0,1.0,9.74749,6.43695,-5.80847
2024-10-31,Other,GSPY,-1.0,1.0,1.41816,0.17588,0.94217
2024-10-31,Other,GSSC,-1.0,1.0,1.31421,0.31463,1.16468
2024-10-31,Other,GSST,-1.0,1.0,14.65573,0.02398,0.01656
2024-10-31,CS,GSUN,-1.3459,1.0,14.71781,2.47159,-0.34531
2024-10-31,Other,GSUS,-1.0,1.0,1.29414,0.17985,0.98123
2024-10-31,Other,GSY,-1.0,1.0,15.94543,0.02832,-0.00342
2024-10-31,Other,GSpA,-1.0,1.0,1.46635,0.20378,0.15889
2024-10-31,Other,GSpC,-1.0,1.0,0.16398,0.1619,0.12341
2024-10-31,Other,GSpD,-1.0,1.0,1.83224,0.17092,0.17716
2024-10-31,CS,GT,-0.62066,0.49806,8.36948,0.71398,1.7211
2024-10-31,CS,GTBP,-0.97036,1.0,145.56595,2.81543,0.98816
2024-10-31,CS,GTE,-0.57463,0.61264,0.89885,0.78724,1.13678
2024-10-31,CS,GTEC,-0.85246,1.23652,8.3539,1.49299,1.06723
2024-10-31,Other,GTEK,-1.0,1.0,1.30401,0.32153,1.46547
2024-10-31,CS,GTES,-0.43299,0.47932,2.26384,0.44741,1.12155
2024-10-31,CS,GTI,-1.30615,1.0,7.53048,2.24971,1.03622
2024-10-31,CS,GTIM,-0.53555,0.53707,1.19514,0.71877,0.52109
2024-10-31,Other,GTIP,-1.0,1.0,1.64734,0.08016,0.07961
2024-10-31,CS,GTLB,-0.68476,0.77591,9.70606,0.90417,1.85281
2024-10-31,CS,GTLS,-0.62226,0.60117,5.69117,0.7769,1.96391
2024-10-31,Other,GTLSpB,-1.0,1.0,5.3743,0.65334,1.50842
2024-10-31,CS,GTN,-0.78087,0.71772,5.4321,1.0093,1.25264
2024-10-31,CS,GTN.A,-0.86731,1.38481,11.18701,1.50764,0.95442
2024-10-31,Other,GTO,-1.0,1.0,1.14593,0.08914,0.10205
2024-10-31,Other,GTR,-1.0,1.0,5.11189,0.15691,0.67286
2024-10-31,CS,GTX,-0.47045,0.53707,8.50502,0.56161,1.0811
2024-10-31,CS,GTY,-0.32472,0.35518,1.10969,0.3098,0.34129
2024-10-31,Other,GUG,-1.0,1.0,1.37015,0.22612,0.43172
2024-10-31,Other,GUMI,-1.0,1.0,7.72959,0.01652,0.01679
2024-10-31,Other,GUNR,-1.0,1.0,0.20087,0.24766,0.66732
2024-10-31,Other,GUNZ,-1.0,1.0,-0.75164,0.27941,1.1446
2024-10-31,CS,GURE,-1.0,1.0,6.8313,1.43701,0.06082
2024-10-31,Other,GURU,-1.0,1.0,0.724,0.21003,0.99801
2024-10-31,Other,GUSA,-1.0,1.0,1.48336,0.17824,0.99284
2024-10-31,Other,GUSH,-1.0,1.0,0.7575,0.74535,1.34774
2024-10-31,Other,GUT,-1.0,1.0,4.32498,0.36549,0.31509
2024-10-31,CS,GUTS,-1.05768,1.26013,1.99452,1.80503,2.22006
2024-10-31,Other,GUTpC,-1.0,1.0,0.2438,0.24076,0.12788
2024-10-31,CS,GV,-1.44803,1.0,35.77623,3.25939,0.61945
2024-10-31,CS,GVA,-0.30406,0.41289,0.11587,0.33583,0.864
2024-10-31,Other,GVAL,-1.0,1.0,3.88033,0.23142,0.62042
2024-10-31,CS,GVH,-1.0,1.0,12.68931,2.21184,2.09406
2024-10-31,Other,GVI,-1.0,1.0,1.92279,0.05751,0.0569
2024-10-31,Other,GVIP,-1.0,1.0,1.44111,0.21912,1.10139
2024-10-31,Other,GVLU,-1.0,1.0,1.06081,0.22141,0.76858
2024-10-31,CS,GVP,-1.1746,1.0,7.63182,1.88097,1.02617
2024-10-31,Other,GVUS,-1.0,1.0,0.58584,0.16171,0.65079
2024-10-31,CS,GWAV,-1.0,1.0,50.31113,3.85384,0.57481
2024-10-31,CS,GWH,-0.85669,0.88236,0.50912,1.42454,1.83326
2024-10-31,Other,GWH.WS,-1.0,1.0,7.0421,3.34337,0.6452
2024-10-31,CS,GWRE,-0.35311,0.59756,28.67103,0.46894,1.06722
2024-10-31,CS,GWRS,-0.41167,0.4904,0.92751,0.52251,0.75444
2024-10-31,CS,GWW,-0.33455,0.39254,3.14436,0.31046,0.78285
2024-10-31,Other,GWX,-1.0,1.0,1.28541,0.23396,0.87894
2024-10-31,CS,GXAI,-1.1173,1.0,104.47248,3.7651,0.47059
